start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,serve_rating,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,round_num,nation,match_ID
2/14/2011,2/19/2011,MEX,Clay,,,2011,joao-araujo_pedro-wagner,,rodolfo-jauregui-sainz-de-rozas_santiago-munoz-quiroga,,jalisco-junior-cup-2011_itf_juniors0,Round of 16,2,0,5,12,0,0,,,,,,,,4,MEX,556
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-alberto-angel-orozco,,jose-andres-illescas-maury,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,0,3,12,0,0,,,,,,,,-1,MEX,557
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-alberto-escutia,,brayden-schnur,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,7,13,0,1,,,,,,,,2,MEX,558
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-andres-forseck-plauchu,,juan-pablo-murra,,jalisco-junior-cup-2011_itf_juniors0,Round of 16,2,0,11,14,0,1,,,,,,,,4,MEX,559
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-andres-forseck-plauchu,,matthew-samberg,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,2,13,7,0,0,,,,,,,,2,MEX,560
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-andres-forseck-plauchu,,vitor-oliveira,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,2,12,6,0,0,,,,,,,,3,MEX,561
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-andres-forseck-plauchu_mauricio-fosado-lopez,,jesus-omar-cordoba_rafa-orantes,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,1,10,10,0,0,,,,,,,,3,MEX,562
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-enrique-gonzalez-aramburu,,eduardo-bringold,,jalisco-junior-cup-2011_itf_juniors0,3rd Round Qualifying,3,1,11,14,0,0,,,,,,,,1,MEX,563
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-enrique-gonzalez-aramburu,,gabriel-mendez-garay,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,2,2,12,6,0,0,,,,,,,,0,MEX,564
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-enrique-gonzalez-aramburu,,riley-lorenz,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,2,12,8,0,0,,,,,,,,-1,MEX,565
2/14/2011,2/19/2011,MEX,Clay,,,2011,jorge-santiago-pena,,santiago-salazar,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,0,7,13,0,0,,,,,,,,-1,MEX,566
2/14/2011,2/19/2011,MEX,Clay,,,2011,jose-andres-illescas-maury,,eduardo-bringold,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,3,1,15,18,0,1,,,,,,,,0,MEX,567
2/14/2011,2/19/2011,MEX,Clay,,,2011,jose-andres-illescas-maury,,jorge-alberto-angel-orozco,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,2,12,3,0,0,,,,,,,,-1,MEX,568
2/14/2011,2/19/2011,MEX,Clay,,,2011,jose-miguel-hernandez,,gustavo-gonzalez-casillas,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,0,3,12,0,0,,,,,,,,-1,MEX,569
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-alanis,,victor-cirigo,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,0,6,12,0,0,,,,,,,,-1,MEX,570
