name	code	region	sub_region	intermediate_region	Country_ID
Uganda	UGA	Africa	Sub-Saharan Africa	Eastern Africa	232
Ukraine	UKR	Europe	Eastern Europe		233
United Arab Emirates	ARE	Asia	Western Asia		234
United Kingdom of Great Britain and Northern Ireland	GBR	Europe	Northern Europe		235
United States of America	USA	Americas	Northern America		236
United States Minor Outlying Islands	UMI	Oceania	Micronesia		237
Uruguay	URY	Americas	Latin America and the Caribbean	South America	238
Uzbekistan	UZB	Asia	Central Asia		239
Vanuatu	VUT	Oceania	Melanesia		240
Venezuela (Bolivarian Republic of)	VEN	Americas	Latin America and the Caribbean	South America	241
Viet Nam	VNM	Asia	South-eastern Asia		242
Virgin Islands (British)	VGB	Americas	Latin America and the Caribbean	Caribbean	243
Virgin Islands (U.S.)	VIR	Americas	Latin America and the Caribbean	Caribbean	244
Wallis and Futuna	WLF	Oceania	Polynesia		245
Western Sahara	ESH	Africa	Northern Africa		246
Yemen	YEM	Asia	Western Asia		247
Zambia	ZMB	Africa	Sub-Saharan Africa	Eastern Africa	248
Zimbabwe	ZWE	Africa	Sub-Saharan Africa	Eastern Africa	249
