year	tournament	start_date	end_date	location	court_surface	prize_money	currency	masters	tournament_id
1978	hobart_challenger	1/8/1978		Australia	Hard	25000	$	100	1110
2015	dornbirn-open_itf_juniors1	10/26/2015	11/1/2015	AUT	Carpet			0	1111
1981	sao-paulo_challenger	1/19/1981		Brazil	Hard	75000	$	100	1112
2015	2015-lee-duk-hee-cup-incheon-international-junior-tennis-championships_itf_juniors0	10/27/2015	11/1/2015	KOR	Hard			0	1113
1980	san-luis-potosi_challenger	3/31/1980		Mexico	Clay	25000	$	100	1114
1997	germany-2-masters_itf_procircuit0	5/19/1997	6/15/1997	Germany	Clay			25	1115
1997	germany-2-masters_itf_procircuit1	5/19/1997	6/15/1997	Germany	Clay			25	1116
2001	philippines-f2-futures_itf_procircuit0	12/4/2001	12/8/2001	PHI	Hard			25	1117
2004	italy-f21-futures_itf_procircuit0	8/16/2004	8/22/2004	ITA	Clay			25	1118
2008	usa-f23-futures_itf_procircuit0	9/15/2008	9/21/2008	USA	Hard			25	1119
1997	korea-masters_itf_procircuit3	5/24/1997	6/20/1997	KOR	Clay			25	1120
1997	korea-masters_itf_procircuit0	5/24/1997	6/20/1997	KOR	Clay			25	1121
1997	korea-masters_itf_procircuit1	5/24/1997	6/20/1997	KOR	Clay			25	1122
1997	korea-masters_itf_procircuit2	5/24/1997	6/20/1997	KOR	Clay			25	1123
1997	mexico-3-masters_itf_procircuit0	5/24/1997	6/22/1997	MEX	Hard			25	1124
1997	mexico-3-masters_itf_procircuit1	5/24/1997	6/22/1997	MEX	Hard			25	1125
1997	mexico-3-masters_itf_procircuit2	5/24/1997	6/22/1997	MEX	Hard			25	1126
1997	mexico-3-masters_itf_procircuit3	5/24/1997	6/22/1997	MEX	Hard			25	1127
1997	germany-2-masters_itf_procircuit2	5/19/1997	6/15/1997	Germany	Clay			25	1128
2004	lithuania-f2-futures_itf_procircuit0	8/16/2004	8/22/2004	LTU	Clay			25	1129
1997	germany-2-masters_itf_procircuit3	5/19/1997	6/15/1997	Germany	Clay			25	1130
2004	romania-f16-futures_itf_procircuit0	8/16/2004	8/22/2004	ROU	Clay			25	1131
2000	portugal-2_itf_procircuit3	10/9/2000	11/5/2000	POR	Hard			25	1132
2000	portugal-2_itf_procircuit0	10/9/2000	11/5/2000	POR	Hard			25	1133
2000	portugal-2_itf_procircuit1	10/9/2000	11/5/2000	POR	Hard			25	1134
2000	portugal-2_itf_procircuit2	10/9/2000	11/5/2000	POR	Hard			25	1135
2004	russia-f2-futures_itf_procircuit0	8/16/2004	8/22/2004	RUS	Hard			25	1136
1979	indian-river_challenger	4/30/1979		USA	Clay	25000	$	100	1137
